j1,j2,j3
0,0,0
1,1,1
8,13,12
2,1,1
3,8,3
0,0,0
2,2,2
10,8,11
4,6,3
1,2,2
0,0,0
1,1,2
0,0,0
0,0,0
2,3,4
4,2,3
11,6,6
3,4,3
0,1,1
2,1,0
1,1,1
4,8,2
2,1,2
1,1,0
3,3,3
9,8,9
0,0,0
4,5,5
1,1,1
1,0,0
24,25,17
0,0,0
0,0,0
1,1,2
0,0,0
0,0,0
6,4,5
1,3,1
1,2,2
2,2,1
5,5,5
10,7,9
1,3,4
3,2,4
0,2,2
2,1,3
2,1,2
13,13,15
7,7,6
1,2,2
4,1,4
11,8,10
4,3,4
6,4,5
1,1,1
0,0,0
2,3,3
2,3,2
1,1,1
1,2,1
1,0,1
0,1,1
0,1,0
2,2,2
3,4,1
1,1,1
3,6,3
5,2,5
7,3,7
6,6,7
2,6,7
0,1,2
2,1,2
7,7,8
14,13,13
1,1,1
5,6,6
3,4,2
7,8,8
10,13,13
5,9,9
2,8,9
1,1,1
5,6,6
2,2,3
11,10,15
0,2,1
2,3,3
2,1,2
4,5,2
1,1,1
2,2,2
1,1,1
0,1,1
4,4,2
7,6,6
3,8,8
3,3,3
2,3,3
0,1,1
3,6,4
1,1,1
2,2,1
2,3,2
5,2,5
2,0,3
0,1,1
7,2,8
13,11,12
1,0,1
0,1,1
0,0,0
0,0,0
8,7,12
5,3,4
15,7,11
6,4,7
1,1,1
0,0,0
1,1,0
1,1,1
1,1,0
2,2,2
3,3,3
4,4,2
12,8,15
1,1,1
2,4,5
1,1,0
0,0,0
2,3,3
1,1,1
2,2,1
1,1,1
2,2,3
0,0,0
9,8,10
6,3,5
2,1,1
0,0,0
3,4,4
4,6,7
15,14,10
1,1,0
2,3,3
2,2,2
2,1,0
3,3,3
3,1,2
3,3,3
1,0,1
0,2,3
1,1,1
1,3,0
3,4,3
0,1,1
8,7,10
6,11,11
6,7,9
0,1,0
14,9,14
2,1,1
1,0,1
0,0,0
3,3,3
8,10,8
1,0,0
3,2,3
2,2,1
8,8,10
2,0,2
0,0,0
4,2,3
2,3,2
6,3,5
3,3,3
4,3,4
1,1,1
0,1,1
0,0,0
12,16,3
5,4,5
2,1,2
0,0,0
5,5,4
1,0,2
1,0,0
2,1,1
1,2,2
4,6,7
2,3,4
0,2,4
3,6,5
5,4,3
3,4,6
6,6,6
2,3,3
5,3,4
1,1,1
3,1,4
