Date,PIT,TL (mm),Wt (kg),Sex,Radio Tag,Dart Tag,Cap. Site,Rel. Site,Comments,Crew,Capture Method ,Water Temp F,Hook Scar,Conductivty ,Recaptured (summer angling),Spring Recapture,Fall Recapture,,Year
3/5/2020,9.89E+14,1116,12.48,F,13,48,Jacksonville,Jacksonville,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,46,0,,0,0,,,2020
3/5/2020,9.89E+14,944,6.02,M,53,44,Jacksonville,Jacksonville,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,46,0,,1,0,,,2020
3/5/2020,9.89E+14,908,5.74,M,73,42,Jacksonville,Jacksonville,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,46,0,,0,0,,,2020
3/5/2020,9.89E+14,1172,11.7,F,134,40,Jacksonville,Jacksonville,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,46,1,,0,0,,,2020
3/5/2020,9.89E+14,956,7.34,F,173,41,Jacksonville,Jacksonville,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,46,0,,0,0,,,2020
3/5/2020,9.89E+14,842,4.5,M,212,45,Jacksonville,Jacksonville,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,46,0,,0,1,,,2020
3/5/2020,9.89E+14,942,6.3,F,254,50,Jacksonville,Jacksonville,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,46,0,,0,0,,,2020
3/5/2020,9.89E+14,970,6.6,F,333,46,Jacksonville,Jacksonville,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,46,0,,0,0,,,2020
3/5/2020,9.89E+14,980,6.22,F,352,47,Jacksonville,Jacksonville,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,46,0,,0,0,,,2020
3/5/2020,9.89E+14,1042,10.18,F,411,49,Jacksonville,Jacksonville,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,46,0,,0,1,,,2020
3/5/2020,9.89E+14,920,6.2,F,453,43,Jacksonville,Jacksonville,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,46,0,,0,0,,,2020
3/9/2020,9.89E+14,892,5.62,M,113,3,State Park,State Park,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,48,0,,0,0,,,2020
3/9/2020,9.89E+14,854,5.16,M,154,2,State Park,State Park,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,48,0,,0,0,,,2020
3/9/2020,9.89E+14,1140,11.48,M,274,10,Mary Conrad Park,Mary Conrad Park,,"Jenkns, Booth, Hansburger,Walker",Electrofishing,48,0,,0,0,,,2020
